Group,Code,Stem,Mesocotyl,Coleoptile,FPL,FPLCol,PR,ARCN,SR,BreakCol,RDSD
Maize,IH1,4.9,3.8,1.1,1.1,0,18.5,0,2,0,4.9
Teosinte,Teo1,19,7.4,9.3,11.6,2.3,6,0,0,1,9.4
Teosinte,Teo1,12.6,8.2,2.9,4.4,1.5,1,0,0,1,10.2
Teosinte,Teo1,12.2,9,3.2,3.2,0,4,0,0,0,12.2
Teosinte,Teo1,12.8,10.8,2,2,0,4,0,0,0,12.8
Teosinte,Teo1,13.7,11.3,2.4,2.4,0,2.5,0,0,0,13.7
Teosinte,Teo1,14.2,10,4.2,4.2,0,2,0,0,0,14.2
Teosinte,Teo1,14.3,9.7,4.6,4.6,0,3,0,0,0,14.3
Teosinte,Teo1,21.2,12.9,7.1,8.3,1.2,1.8,0,0,1,14.9
Teosinte,Teo1,23.6,13.5,5.8,10.1,4.3,4,0,0,1,15.5
Teosinte,Teo1,15.7,10.2,5.5,5.5,0,5,0,0,0,15.7
Teosinte,Teo1,18.7,13.9,4.6,4.8,0.2,8,0,0,1,15.9
Teosinte,Teo1,17.6,14,3.4,3.6,0.2,3.2,0,0,1,16
Teosinte,Teo1,30.7,14.2,6.4,16.5,10.1,5.5,0,0,1,16.2
Teosinte,Teo1,22.1,14.5,6.6,7.6,1,4,0,0,1,16.5
Teosinte,Teo1,17.1,12.2,4.9,4.9,0,1.6,0,0,0,17.1
Teosinte,Teo1,17.4,12.5,4.9,4.9,0,3,0,0,0,17.4
Teosinte,Teo1,25.6,16,6.9,9.6,2.7,4,0,0,1,18
Teosinte,Teo1,18.1,16.1,2,2,0,3.1,0,0,0,18.1
Teosinte,Teo1,32.7,16.2,5.3,16.5,11.2,3.2,0,0,1,18.2
Teosinte,Teo1,18.6,12.7,5.9,5.9,0,5,0,0,0,18.6
Teosinte,Teo1,23.3,16.8,4.5,6.5,2,3.5,0,0,1,18.8
Teosinte,Teo1,19,16.8,2.2,2.2,0,2,0,0,0,19
Teosinte,Teo1,27,18,6.4,9,2.6,4,0,0,1,20
Teosinte,Teo1,20.4,17.2,3.2,3.2,0,5.4,0,0,0,20.4
Teosinte,Teo1,32.3,19,6.8,13.3,6.5,7,0,0,1,21
Teosinte,Teo1,24.7,19.2,4.1,5.5,1.4,3.5,0,0,1,21.2
Teosinte,Teo1,25,19.5,4.6,5.5,0.9,3.8,0,0,1,21.5
Teosinte,Teo1,27.9,20,7.4,7.9,0.5,4.8,0,0,1,22
Teosinte,Teo1,31.4,20.2,4.6,11.2,6.6,3,0,0,1,22.2
Teosinte,Teo1,23.5,19.4,4.1,4.1,0,6.2,0,0,0,23.5
Teosinte,Teo1,33.6,21.5,7.2,12.1,4.9,5,0,0,1,23.5
Teosinte,Teo1,25.6,17,8.6,8.6,0,5.7,0,0,0,25.6
Teosinte,Teo1,31.2,24.2,6.1,7,0.9,5,0,0,1,26.2
Teosinte,Teo1,26.5,24,2.5,2.5,0,3.6,0,0,0,26.5
Teosinte,Teo1,27,23,4,4,0,4.3,0,0,0,27
Teosinte,Teo1,29.6,23.1,6.5,6.5,0,4.6,0,0,0,29.6
Teosinte,Teo1,31.5,21.5,10,10,0,4.7,0,0,0,31.5
Teosinte,Teo1,36,30,6,6,0,4.5,0,0,0,36
Teosinte,Teo1,37.9,25.9,12,12,0,4.1,0,0,0,37.9
Teosinte,Teo2,1.1,9.2,1.8,1.8,0,2.5,0,0,0,1.1
Teosinte,Teo2,4.5,3.8,0.7,0.7,0,2.3,0,0,0,4.5
Teosinte,Teo2,4.9,4.1,0.8,0.8,0,3.6,0,0,0,4.9
Teosinte,Teo2,6.1,5.3,1,1,0,7.3,0,0,0,6.1
Teosinte,Teo2,8.8,7.5,1.3,1.3,0,1.5,0,0,0,8.8
Teosinte,Teo2,9,7.3,1.4,1.4,0,1.6,0,0,0,9
Teosinte,Teo2,9.3,7.3,2,2,0,3.1,0,0,0,9.3
Teosinte,Teo2,9.8,8.5,1.1,1.1,0,3.7,0,0,0,9.8
Teosinte,Teo2,10,9.4,0.6,0.6,0,2.8,0,0,0,10
Teosinte,Teo2,10.1,9.4,0.7,0.7,0,1.6,0,0,0,10.1
Teosinte,Teo2,10.1,8.2,1.9,1.9,0,1.4,0,0,0,10.1
Teosinte,Teo2,10.1,7.9,2.2,2.2,0,4.2,0,0,0,10.1
Teosinte,Teo2,13.7,8.5,4.4,5.2,0.8,3.7,0,0,1,10.5
Teosinte,Teo2,21.5,8.5,5.4,13.5,8.1,1.2,0,1,1,10.5
Teosinte,Teo2,10.8,9.9,0.9,0.9,0,2.4,0,0,0,10.8
Teosinte,Teo2,11.4,8.7,2.8,1.7,0,3,0,0,0,11.4
Teosinte,Teo2,11.6,9.5,1.7,1.7,0,2.8,0,0,0,11.6
Teosinte,Teo2,11.9,10.7,1.2,1.2,0,2.5,0,0,0,11.9
Teosinte,Teo2,11.9,9.9,2,2,0,5.9,0,0,0,11.9
Teosinte,Teo2,12.2,5,7.5,7.5,0,1,0,0,0,12.2
Teosinte,Teo2,12.3,10.3,2,2,0,2,0,0,0,12.3
Teosinte,Teo2,12.5,10.3,2.3,2,0,2.5,0,0,0,12.5
Teosinte,Teo2,12.7,11.8,0.9,0.9,0,1.2,0,0,0,12.7
Teosinte,Teo2,23.9,11.2,6.2,12.8,6.6,2.4,0,0,1,13.2
Teosinte,Teo2,16,11.3,3.8,4.5,0.7,6.6,0,0,1,13.3
Teosinte,Teo2,13.5,11.6,1.7,1.7,0,2.3,0,0,0,13.5
Teosinte,Teo2,13.6,10.3,3.4,3.4,0,4.8,0,0,0,13.6
Teosinte,Teo2,14.8,12.9,2,1.6,0,1.3,0,0,0,14.8
Teosinte,Teo2,15.3,13.5,2.3,2.3,0,3.5,0,0,0,15.3
Teosinte,Teo2,32,13.6,12.3,18.4,6.1,2.6,0,0,1,15.6
Teosinte,Teo2,24.6,14.1,4.2,10.8,6.6,2,0,0,1,16.1
Teosinte,Teo2,16.2,14.3,1.9,1.9,0,2.1,0,0,0,16.2
Teosinte,Teo2,16.5,14.7,1.5,1.5,0,1.1,0,0,0,16.5
Teosinte,Teo2,16.5,13.8,2.7,2.7,0,2.1,0,0,0,16.5
Teosinte,Teo2,16.8,14.5,2.5,1.8,0,2.8,0,0,0,16.8
Teosinte,Teo2,17.2,12.1,5.2,5.2,0,2.3,0,0,0,17.2
Teosinte,Teo2,17.7,12.9,14.8,14.8,0,1.4,0,1,0,17.7
Teosinte,Teo2,18,13.3,5,5,0,3.4,0,0,0,18
Teosinte,Teo2,18.3,14.4,3.8,3.5,0,3.5,0,0,0,18.3
Teosinte,Teo2,18.4,13.6,4.9,4.9,0,2.1,0,0,0,18.4
Teosinte,Teo2,18.5,17.2,1.3,1.3,0,2.1,0,0,0,18.5
Teosinte,Teo2,18.6,16.3,2.4,2.4,0,4.2,0,0,0,18.6
Teosinte,Teo2,18.7,17.6,1.3,1.3,0,1.7,0,0,0,18.7
Teosinte,Teo2,18.8,16,2.8,1.5,0,2.8,0,0,0,18.8
