Code,Stem,Mesocotyl,Coleoptile,FPL,FPLCol,PR,RDSD,BreakCol,ARCN,SR
Trip1,9.83,8.32,1.43,1.43,0,2.54,9.83,0,0,0
Trip2,13.62,12.41,1.21,1.21,0,1.69,13.62,0,0,0
Trip3,9.45,8.11,1.34,1.34,0,3.12,9.45,0,0,0
Trip4,10.93,9.97,0.96,0.96,0,3.37,10.93,0,0,0
Trip6,16.91,15.24,1.67,1.67,0,2.32,16.91,0,0,0
Trip7,15.18,13.59,1.59,1.59,0,1.93,15.18,0,0,0
M3,27.99,18.38,6.35,9.62,3.27,20.42,21.92,63.64,0,0
M39,25.08,16.42,5.75,8.67,2.92,12.72,19.66,56.52,0.04,2.09
M43,29.57,18.9,4.37,10.67,6.31,9.65,21.04,88.57,0.06,2.09
M50,26.24,16.76,5.38,9.48,4.1,11.36,19.69,71.88,0.09,2
M55,29.82,19.98,6.04,9.85,3.81,11.65,23.94,61.54,0.15,2
IH16,30.18,18.01,4.8,12.17,7.37,13.48,20.52,78.79,0.09,1.7
Teo1,23.37,16.45,5.35,6.92,1.56,4.07,19.96,48.72,0,0
Teo2,19.43,14.21,4.33,5.51,1.29,2.66,16.99,25.71,0,0.028571429
Teo3,25.49,16.16,4.19,9.33,5.14,2.66,18.29,91.43,0,0
Teo4,16.86,12.16,3.89,4.7,0.81,2.99,15.21,28.95,0,0
Teo5,22.19,16.99,3.97,5.2,1.23,3.05,19.53,34.29,0,0
Teo6,28.94,19.85,4.19,9.09,4.9,3.3,22.18,85.71,0,0
Teo7,15.45,11.94,3.21,3.5,0.3,3.42,14.38,31.03,0,0
Teo8,25.62,19.98,4.84,5.64,0.8,3.01,24.11,22.22,0,0
Teo9,26.34,19.04,5.51,7.3,1.79,2.56,22.86,50,0,0
Teo10,28.4,20.63,3.85,7.77,3.92,2.6,22.97,76.74,0,0
Teo11,23.66,17.37,3.86,6.29,2.43,1.12,19.85,64.86,0,0
Teo12,24.92,15.9,4.99,9.02,4.02,1.87,18.17,89.74,0,0
Teo13,23.98,17.35,3.32,6.63,3.32,1.89,19.43,80,0,0
Teo14,20.31,12.14,3.61,8.17,4.56,2.37,14.18,84.62,0,0
Teo15,26.27,16.41,3.89,9.86,5.97,1.83,18.41,97.56,0,0
Teo16,25.36,14.23,4.43,11.13,6.7,2.11,16.24,97.3,0,0
Teo17,19.8,12.47,4.87,7.33,2.46,2.49,15.71,52.94,0,0
Teo18,21.93,11.64,5.11,10.29,5.18,3.37,13.74,90.7,0,0
Teo19,24.02,16.18,4.43,7.84,3.41,2.25,18.45,81.08,0,0
Teo20,14.99,8.34,3.99,6.65,2.66,1.9,10.71,82.35,0,0
Teo21,27.05,18.31,4.92,8.74,3.82,2.42,21.25,71.43,0,0
Teo22,26.05,18.77,3.83,7.28,3.45,1.97,20.87,90,0,0
Teo23,16.49,8.06,4.69,8.43,3.75,3.34,10.36,86.96,0,0
Teo24,16.19,10.41,3.42,5.78,2.36,2.11,12.38,84.62,0,0
Teo25,21.38,12.43,3.78,8.95,5.18,2.24,14.48,91.67,0,0
Teo26,24.83,14.89,4.83,9.93,5.11,3.8,16.99,93.75,0,0
M4,19.68,5.34,6.19,14.33,8.15,11.99,7.46,96.43,2.04,2.75
M6,28.01,9.86,5.08,18.15,13.08,17.81,11.86,100,2.13,2.44
M7,28.14,10.49,4.88,17.65,12.77,15.13,12.49,100,2.19,2.07
M8,26.88,9.48,5.85,17.4,11.55,16.47,11.48,100,2.42,3.21
M9,26.49,9.46,5.26,17.03,11.76,14.14,11.46,100,1.94,2.58
M10,16.19,7.21,4.51,8.98,4.47,12.6,9.63,90,1.2,2.9
M11,22.29,7.44,5.66,14.85,9.19,15.56,9.58,94.44,1.67,2.61
M12,26.73,8.34,5.67,18.39,12.72,12.55,10.34,100,2,2.84
M13,26.72,9.19,5.79,17.53,11.74,16.53,11.31,97.06,2.29,3.18
M14,21.35,7.96,6.75,13.39,6.65,18,10.72,87.1,1.26,2.52
M15,21.78,8.24,6.7,13.54,6.84,19.43,11.07,85.71,1.5,2.57
M20,22.28,8.49,7.47,13.8,6.33,21.41,11.54,81.25,2.13,2.84
M21,18.79,6.43,5.16,12.36,7.2,18.83,8.97,86.11,1.39,3.56
M25,29.47,11.82,4.89,17.66,12.76,16.7,13.82,100,1.73,1.96
M27,22.54,7.61,5.44,14.93,9.49,18.68,9.64,94.44,3,1.78
M28,27.29,8.87,4.84,18.42,13.58,14.15,10.87,100,3.21,2.14
M34,19.01,7.26,7.29,11.75,4.46,14.25,10.25,80.56,2.28,2.53
M51,25.81,9.03,4.11,16.79,12.67,9.86,11.03,100,1.61,1.79
M53,21.46,5.71,6.54,15.75,9.21,13.1,7.71,100,3.03,4.29
IH10,21.4,9,6.93,12.4,5.47,13.76,11.96,82.5,2.7,2.1
IH11,20.35,8.53,7.45,11.83,4.37,14.04,11.81,78.95,2.84,2.32
IH12,22.67,9.36,6.7,13.31,6.61,13.92,11.62,95.24,2.05,1.95
IH13,23.15,9,7.04,14.15,7.11,17.89,11.25,95.24,2.48,2
IH14,23.92,10.13,6.89,13.79,6.9,13.09,12.64,88.89,2.06,2.08
IH15,22.63,10.3,6.32,12.33,6.01,10.9,12.44,93.94,2.12,1.82
M1,21.4,11.52,5.26,9.88,4.63,9.56,13.76,90.63,0.16,1.81
M2,19.4,10.85,5.47,8.55,3.08,8.14,13.29,86.96,0.13,2.04
M5,23.23,12.81,5.73,10.42,4.68,19.13,15.56,82.76,1,2.38
M16,20.93,9.36,6.66,11.57,4.91,19.91,12.78,74.07,1.44,2.7
M17,23.5,12.5,5.99,11,5.01,19.4,14.86,90,0.67,2.3
