Group,Code,Name,SubSp,Altitude,n,Stem,Mesocotyl,Coleoptile,FPL,FPLCol,PR,ARCN,SR,BreakCol,RDSD
maize,M1,NA,NA,21,32,21.4,11.52,5.26,9.88,4.63,9.56,0.16,1.81,90.63,13.76
maize,M10,NA,NA,1533,10,16.19,7.21,4.51,8.98,4.47,12.6,1.2,2.9,90,9.63
maize,M11,NA,NA,2181,18,22.29,7.44,5.66,14.85,9.19,15.56,1.67,2.61,94.44,9.58
maize,M12,NA,NA,1584,25,26.73,8.34,5.67,18.39,12.72,12.55,2,2.84,100,10.34
maize,M13,NA,NA,1531,34,26.72,9.19,5.79,17.53,11.74,16.53,2.29,3.18,97.06,11.31
maize,M14,NA,NA,2153,31,21.35,7.96,6.75,13.39,6.65,18,1.26,2.52,87.1,10.72
maize,M15,NA,NA,2137,28,21.78,8.24,6.7,13.54,6.84,19.43,1.5,2.57,85.71,11.07
maize,M16,NA,NA,2308,27,20.93,9.36,6.66,11.57,4.91,19.91,1.44,2.7,74.07,12.78
maize,M17,NA,NA,2280,30,23.5,12.5,5.99,11,5.01,19.4,0.67,2.3,90,14.86
maize,M18,NA,NA,2415,36,25.1,12.08,6.87,13.02,6.15,15.63,1.17,2.33,91.67,14.52
maize,M19,NA,NA,2181,32,25.4,12.02,7.69,13.38,5.7,20.32,2.25,2.63,87.5,14.9
maize,M2,NA,NA,2973,23,19.4,10.85,5.47,8.55,3.08,8.14,0.13,2.04,86.96,13.29
maize,M20,NA,NA,2210,32,22.28,8.49,7.47,13.8,6.33,21.41,2.13,2.84,81.25,11.54
maize,M21,NA,NA,1552,36,18.79,6.43,5.16,12.36,7.2,18.83,1.39,3.56,86.11,8.97
maize,M22,NA,NA,191,21,29.91,14.42,4.34,15.49,11.15,21.53,0.9,1.9,100,16.42
maize,M23,NA,NA,2299,23,23.27,12.29,5.54,10.97,5.43,19.78,0.57,2,82.61,14.9
maize,M24,NA,NA,1220,2,10.85,5.5,5.35,5.35,0,9.25,0.5,2,0,10.85
maize,M25,NA,NA,120,45,29.47,11.82,4.89,17.66,12.76,16.7,1.73,1.96,100,13.82
maize,M26,NA,NA,2050,15,17.22,7.29,6.04,9.93,3.89,18.29,0.86,2.07,60,10.74
maize,M27,NA,NA,61,36,22.54,7.61,5.44,14.93,9.49,18.68,3,1.78,94.44,9.64
maize,M28,NA,NA,617,42,27.29,8.87,4.84,18.42,13.58,14.15,3.21,2.14,100,10.87
maize,M29,NA,NA,2259,27,20.68,10.86,7.26,9.82,2.56,18.96,1.63,1.63,77.78,13.95
maize,M3,NA,NA,1759,33,27.99,18.38,6.35,9.62,3.27,20.42,0,0,63.64,21.92
