Group,Code,Experiment,Stem,Mesocotyl,Coleoptile,FPL,FPLCol,PR,ARCN,SR,BreakCol,RDSD
Maize,M52,8D,10.6,5.2,3.7,5.4,1.7,14.2,0,3,1,10.9
Maize,M52,8D,27.5,21.8,5.4,5.7,0.3,20.6,0,3,1,29.2
Maize,M52,8D,32.4,23.4,9,7.4,-1.6,16.3,0,3,0,32.4
Maize,M52,8D,32.1,22.9,9.4,9.4,0,15.9,0,3,0,32.3
Maize,M52,8D,29,22.5,6,6.5,0.5,16.4,0,3,1,30.5
Maize,M52,8D,30,23,6.5,7,0.5,10.3,0,3,1,31.5
Maize,M52,8D,28.7,21.7,5.6,7,1.4,7.5,0,4,1,29.3
Maize,M52,8D,30.6,23.4,7.2,7.2,0,17,0,2,0,30.6
Maize,M52,8D,30.1,22,8.1,8.1,0,22,0,3,0,30.1
Maize,M52,8D,30,22,8,7,-1,20.2,0,3,0,30
Maize,M52,8D,24.3,16.9,5.8,7.4,1.6,4,0,5,1,24.7
Maize,M52,8D,23.2,15.8,6.6,7.4,0.8,6.7,0,5,1,24.4
Maize,M52,8D,28.9,21.4,7.5,7.5,0,8,0,4,0,28.9
Maize,M52,8D,21.9,14.5,5.6,7.4,1.8,5.2,0,5,1,22.1
Maize,M52,8D,28.6,23.1,5.5,5.5,0,20.3,0,3,0,28.6
Maize,M52,8D,25.3,17.8,2,7.5,5.5,9.4,0,5,1,21.8
Maize,M52,8D,27.2,24,3.2,3.2,0,11,0,1,0,27.2
Maize,M52,8D,30.4,22.5,6.1,7.9,1.8,6.8,0,5,1,30.6
Maize,M52,8D,24.6,16.7,5.7,7.9,2.2,20,0,4,1,24.4
Maize,M52,8D,27.5,19,7,8.5,1.5,17,0,3,1,28
Maize,M52,8D,26.5,22.4,4.1,4.1,0,3.4,0,3,0,26.5
Maize,M52,8D,25.2,17.2,8,5.7,-2.3,6.4,0,3,0,25.2
Maize,M52,8D,25.2,21.1,4.1,2.2,-1.9,10,0,3,0,25.2
Maize,M52,8D,25.1,19.6,5.5,5.5,0,4.9,0,3,0,25.1
Maize,M52,8D,22.8,13.4,6.7,9.4,2.7,19.8,0,2,1,22.1
Maize,M52,8D,25,20.5,4.5,4,-0.5,3.7,0,3,0,25
Maize,M52,8D,24.6,15,6.6,9.6,3,7.1,0,4,1,23.6
Maize,M52,8D,25.7,15.7,5.9,10,4.1,20,0,2,1,23.6
Maize,M52,8D,24.5,18,6.5,5,-1.5,8,0,4,0,24.5
Maize,M52,8D,28.9,18.7,7.3,10.2,2.9,4.5,0,4,1,28
Maize,M52,8D,33.1,22.9,5.9,10.3,4.4,15.3,0,4,1,30.8
Maize,M52,8D,27.8,17.5,4.5,10.3,5.8,13.5,0,2,1,24
Maize,M52,8D,24.1,17.6,6.5,6,-0.5,17.5,0,3,0,24.1
Maize,M52,8D,23.5,16,7.5,6.6,-0.9,6.4,0,4,0,23.5
Maize,M52,8D,30.5,20,6.6,10.5,3.9,7.2,0,2,1,28.6
Maize,M52,8D,33.6,23,6.6,10.6,4,10,0,3,1,31.6
Maize,M52,8D,22.1,15.5,6.6,5.9,-0.7,30.9,0,3,0,22.1
Maize,M52,8D,21.9,14.7,7.2,5,-2.2,12.9,0,4,0,21.9
Maize,M52,8D,22.4,11.1,7,11.3,4.3,2.8,0,3,1,20.1
Maize,M52,8D,20.4,13.4,7,7,0,3.1,0,4,0,20.4
Maize,M52,8D,20.2,13.7,6.5,6.5,0,14.1,0,3,0,20.2
Maize,M52,8D,20.1,8.6,11.5,11.5,0,6.7,0,2,0,20.1
Maize,M52,8D,18.7,13.3,5.4,4,-1.4,14.2,0,3,0,18.7
Maize,M52,8D,18.6,12,6.6,6.6,0,4,0,3,0,18.6
Maize,M52,8D,18.3,15.2,2.8,2.8,0,14.6,0,2,0,18
Maize,M52,8D,18,11,7,6.4,-0.6,9.3,0,3,0,18
Maize,M52,8D,16.7,10.5,6.2,5.3,-0.9,17,0,2,0,16.7
Maize,M52,8D,16.6,10.2,6.4,6,-0.4,4.5,1,4,0,16.6
Maize,M52,8D,15.4,9.4,6,6,0,23.8,0,3,0,15.4
Maize,M52,8D,13.7,9.1,4.6,2.6,-2,7.3,0,4,0,13.7
Maize,M52,8D,13.1,7.9,5.2,3.5,-1.7,10.2,0,4,0,13.1
Maize,M52,8D,13,9.2,3.8,3.8,0,8,0,2,0,13
Maize,M52,8D,12.9,7.4,5.5,3.6,-1.9,7,0,5,0,12.9
Maize,M52,8D,12.2,9.3,3.1,3.1,0,5.6,0,3,0,12.4
Maize,M52,8D,12.1,8.6,3.8,3.5,-0.3,24.1,0,3,0,12.4
Maize,M52,8D,11.8,9.5,2.3,2.3,0,5.5,0,2,0,11.8
Maize,M52,8D,33.8,20.8,6.8,13,6.2,13.4,0,3,1,29.6
Maize,M52,8D,10.7,7,3.7,2.5,-1.2,3.7,0,5,0,10.7
Maize,M52,8D,10.3,7.7,2.6,1.1,-1.5,18.5,0,4,0,10.3
Maize,M52,8D,9.2,3,6.2,5.9,-0.3,10.1,0,3,0,9.2
Maize,M52,8D,8,5.8,2.2,2.2,0,2.5,0,3,0,8
Maize,M52,8D,7.5,6.5,1,1,0,2.2,0,3,0,7.5
Maize,M52,8D,6.3,4.5,1.8,1.8,0,17.8,0,5,0,6.3
Maize,M52,8D,5.6,3.5,2.1,2.1,0,5.6,0,3,0,5.6
Maize,M52,8D,3.4,1,2.4,2.4,0,5.6,0,2,0,3.4
Maize,M52,8D,27.7,12.4,5.2,15.3,10.1,3.5,0,2,1,19.6
Maize,M52,8L,22,17.5,4.2,4.5,0.3,4.8,0,3,1,23.7
Maize,M52,8L,22,17.4,4.1,4.6,0.5,5.1,0,3,1,23.5
