Accesion,AccEvolID,Origen,Rasem
M24,M56,Primordia,3
M24,M56,Primordia,2
M24,M56,Primordia,3
M24,M56,Primordia,2
M24,M56,Primordia,4
M24,M56,Primordia,2
M24,M56,Primordia,3
M24,M56,Primordia,2
M24,M56,Primordia,4
M24,M56,Primordia,2
M24,M56,Primordia,2
M24,M56,Primordia,3
M24,M56,Primordia,2
M24,M56,Darkness,0
M24,M56,Darkness,1
M24,M56,Darkness,4
M24,M56,Darkness,2
M24,M56,Darkness,4
M24,M56,Darkness,1
M24,M56,Darkness,2
M24,M56,Darkness,6
M24,M56,Darkness,3
M24,M56,Darkness,3
M24,M56,Darkness,5
M24,M56,Darkness,3
M24,M56,Darkness,5
M24,M56,Darkness,2
M24,M56,Darkness,4
M24,M56,Darkness,3
M24,M56,Darkness,3
M24,M56,Darkness,4
M24,M56,Darkness,3
M24,M56,Darkness,5
M24,M56,Darkness,2
M24,M56,Photoperiod,4
M24,M56,Photoperiod,3
M24,M56,Photoperiod,4
M24,M56,Photoperiod,3
M24,M56,Photoperiod,4
M24,M56,Photoperiod,4
M24,M56,Photoperiod,3
M24,M56,Photoperiod,6
M24,M56,Photoperiod,4
M24,M56,Photoperiod,4
M24,M56,Photoperiod,2
M24,M56,Photoperiod,4
M24,M56,Photoperiod,3
M24,M56,Photoperiod,5
M24,M56,Photoperiod,3
M24,M56,Photoperiod,3
M24,M56,Photoperiod,3
M24,M56,Photoperiod,3
M24,M56,Photoperiod,5
M24,M56,Photoperiod,2
M24,M56,Photoperiod,2
M73,M58,Primordia,3
M73,M58,Primordia,2
M73,M58,Primordia,3
M73,M58,Primordia,3
M73,M58,Primordia,2
M73,M58,Primordia,3
M73,M58,Primordia,3
M73,M58,Primordia,3
M73,M58,Primordia,3
M73,M58,Primordia,3
M73,M58,Primordia,3
M73,M58,Primordia,3
M73,M58,Primordia,3
M73,M58,Primordia,2
M73,M58,Primordia,3
M73,M58,Darkness,3
M73,M58,Darkness,3
M73,M58,Darkness,6
M73,M58,Darkness,2
M73,M58,Darkness,7
M73,M58,Darkness,5
M73,M58,Darkness,6
M73,M58,Darkness,4
M73,M58,Darkness,5
M73,M58,Darkness,5
M73,M58,Darkness,4
M73,M58,Darkness,2
M73,M58,Darkness,6
M73,M58,Darkness,4
M73,M58,Darkness,5
M73,M58,Darkness,4
M73,M58,Darkness,4
M73,M58,Darkness,3
M73,M58,Darkness,3
M73,M58,Darkness,3
M73,M58,Photoperiod,4
M73,M58,Photoperiod,5
M73,M58,Photoperiod,4
M73,M58,Photoperiod,5
M73,M58,Photoperiod,5
M73,M58,Photoperiod,3
M73,M58,Photoperiod,7
M73,M58,Photoperiod,4
M73,M58,Photoperiod,6
M73,M58,Photoperiod,4
M73,M58,Photoperiod,3
M73,M58,Photoperiod,4
M73,M58,Photoperiod,5
M73,M58,Photoperiod,3
M73,M58,Photoperiod,3
M73,M58,Photoperiod,6
M73,M58,Photoperiod,5
M73,M58,Photoperiod,4
M73,M58,Photoperiod,3
M73,M58,Photoperiod,3
M73,M58,Photoperiod,9
M68,M57,Primordia,2
M68,M57,Primordia,1
M68,M57,Primordia,3
M68,M57,Primordia,2
M68,M57,Primordia,2
M68,M57,Primordia,3
M68,M57,Primordia,2
M68,M57,Primordia,2
M68,M57,Primordia,3
M68,M57,Primordia,1
M68,M57,Primordia,2
M68,M57,Darkness,3
M68,M57,Darkness,2
M68,M57,Darkness,5
M68,M57,Darkness,3
M68,M57,Darkness,5
M68,M57,Darkness,6
M68,M57,Darkness,4
M68,M57,Darkness,3
M68,M57,Darkness,2
M68,M57,Darkness,5
M68,M57,Darkness,6
M68,M57,Darkness,4
M68,M57,Darkness,5
M68,M57,Darkness,2
M68,M57,Darkness,3
M68,M57,Darkness,3
M68,M57,Darkness,5
M68,M57,Darkness,1
M68,M57,Darkness,4
M68,M57,Darkness,4
M68,M57,Darkness,4
M68,M57,Photoperiod,1
M68,M57,Photoperiod,3
M68,M57,Photoperiod,3
M68,M57,Photoperiod,8
M68,M57,Photoperiod,8
M68,M57,Photoperiod,3
M68,M57,Photoperiod,5
M68,M57,Photoperiod,6
M68,M57,Photoperiod,6
M68,M57,Photoperiod,3
M68,M57,Photoperiod,4
M68,M57,Photoperiod,5
M68,M57,Photoperiod,4
M68,M57,Photoperiod,4
M68,M57,Photoperiod,4
M68,M57,Photoperiod,5
M68,M57,Photoperiod,3
M68,M57,Photoperiod,5
