Group,Stem,Mesocotyl,Coleoptile,FPL,FPLCol,RDSD,BreakCol,PR,ARCN,SRV,SRD,SR
Tripsacum,26.1,18.4,2.9,8.1,5.2,23.3,1,1.1,0,0,1,1
Tripsacum,27,20.6,3,6.8,3.8,25.6,1,3.1,0,0,1,1
Tripsacum,28.2,22.4,2,5.2,3.2,26.4,1,4.5,0,1,0,1
Tripsacum,22.3,20.6,1.8,1.8,0,22.4,0,2,0,1,0,1
Tripsacum,11.1,10.5,1.1,1.1,0,11.6,0,1.5,0,1,1,2
Tripsacum,22.6,19.8,2.3,2.7,0.4,24.1,1,2,0,0,0,0
Tripsacum,24.4,22.5,1.6,1.9,0.3,25.2,1,1.1,0,0,0,0
Tripsacum,31.2,21.5,3.2,9.8,6.6,26.7,1,3.3,0,0,0,0
Tripsacum,26.4,18.3,2.4,8.5,6.1,22.7,1,3.2,0,0,0,0
Tripsacum,17.2,24.7,1.4,1.1,-0.3,26.1,0,4,0,0,0,0
Tripsacum,20.5,19.3,1,0.8,-0.2,20.3,0,0.3,0,0,0,0
Tripsacum,7.8,7.3,0.5,0.5,0,7.8,0,1.1,0,0,0,0
Tripsacum,23.3,19.2,1.9,3,1.1,22.2,1,3.2,0,0,0,0
Tripsacum,17.8,16.2,1.3,0.9,-0.4,17.5,0,0.6,0,0,0,0
Tripsacum,26.5,15.7,3,10.9,7.9,20.7,1,2.2,0,0,0,0
Tripsacum,11.2,9.8,1.4,1.4,0,11.2,0,0.6,0,0,0,0
Tripsacum,27.8,18.3,2.5,9.9,7.4,22.8,1,1.4,0,0,0,0
Maize,18.4,12,6.4,6.4,0,18.4,0,5.5,0,1,2,3
Maize,22.4,16,6.3,6.3,0,22.3,0,5.5,0,1,4,5
Maize,19.8,11.3,8.5,7.5,-1,19.8,0,11.9,0,1,2,3
Maize,22,16.7,5.3,5.1,-0.2,22,0,3.8,0,1,2,3
Maize,16.5,11.5,5.1,5.1,0,16.6,0,9,0,1,2,3
Maize,26.3,16.5,6.8,10,3.2,25.3,1,13.6,0,1,2,3
